id,job_hash,title,company,location,salary,experience,level,skills,requirements,posted_at,source_url,source_platform,crawl_time,created_at,updated_at,job_type,mode,field
3456,adaa86a9db3ad6b6cc57598a92aef24f362b8be34edeca32278c216d334d98e6,[HN] Công ty TNHH Admatic Tuyển Dụng Cộng Tác Viên Lập Trình Web-PHP-Laravel 2017,unknown,Ha Noi,,No experience required,Intern,[],"Sử dụng được HTML, CSS, Bootstrap Sử dụng được Javascript Jquery Có hiểu biết PHP, Laravel Quyền",,https://ybox.vn/tuyen-dung/hn-cong-ty-tnhh-admatic-tuyen-dung-cong-tac-vien-lap-trinh-web-php-laravel-2017-5aea4e0aa1e7524b07282aae,ybox,2026-06-08 09:06:25.529+00,2026-06-08 09:12:58.743239+00,2026-06-08 09:12:58.743239+00,,,
3464,4232d5fec169e83f875642cea76ce892476c92ccd4cadb44cc92b707c12ae842,[HCM] Unik Technology Tuyển Dụng Developers 2017,unknown,Ho Chi Minh,,No experience required,Intern,[],"dự án - Phân tích, thiết kế, triển khai cơ sở dữ liệu Microsoft SQL Server, MySQL,",,https://ybox.vn/tuyen-dung/hcm-unik-technology-tuyen-dung-developers-2017-5aea4e84ba2bb54b45ed7b3f,ybox,2026-06-08 09:07:24.45+00,2026-06-08 09:12:58.743239+00,2026-06-08 09:12:58.743239+00,,,
3475,819e4ad18939de7dbb6415154621f4d9b1e84754ce35ace25e5edc905c3d4c83,[HN] SCUTI tuyển dụng Senior React JS Developer lương $800-$1200,unknown,Ha Noi,,No experience required,Intern,[],- Yêu thích lập trình Mo,,https://ybox.vn/tuyen-dung/hn-scuti-tuyen-dung-senior-react-js-developer-luong-usd800-usd1200-5aea4f31545c794b9d32461b,ybox,2026-06-08 09:08:34.668+00,2026-06-08 09:12:58.743239+00,2026-06-08 09:12:58.743239+00,,,
3480,07a5eddc153c2bb07f31d95867347f2ec9cdf645fede88d79206df6078efcaa3,[HN] TUYỂN THỰC TẬP SINH JAVA !!!!!,unknown,Ha Noi,,No experience required,Intern,[],"- Sinh viên năm cuối đang làm đồ án tốt nghiệp đợi ra trường CNTT, Khoa học máy tính. - Sinh viên ngành CNTT, Khoa học máy tính vừa ra trường đang tìm việc. -",,https://ybox.vn/tuyen-dung/hn-tuyen-thuc-tap-sinh-java-5aea4ede0cdaf44b70356375,ybox,2026-06-08 09:09:05.85+00,2026-06-08 09:12:58.743239+00,2026-06-08 09:12:58.743239+00,,,
3481,dc20d9d072fe247db8a7f22158b6b19e4a843e0dbbfc54e05b90fc456a0b05eb,[HN] THỰC TẬP SINH JAVA,unknown,Ha Noi,,No experience required,Intern,[],"Sinh viên năm cuối đang làm đồ án tốt nghiệp đợi ra trường CNTT, Khoa học máy tính. Sinh viên ngành CNTT, Khoa học máy tính vừa ra trường đang tìm việc. Đối tượng Si",,https://ybox.vn/tuyen-dung/hn-thuc-tap-sinh-java-5aea4ede0cdaf44b70356376,ybox,2026-06-08 09:09:08.75+00,2026-06-08 09:12:58.743239+00,2026-06-08 09:12:58.743239+00,,,
3493,cd55b24c9020c0b7aac48e50aac4f92cafa41e12e4de23501162b924b5e29a00,.NET DEVELOPER,unknown,Vietnam,,No experience required,Intern,[],CÔNG VIỆC: - Tốt nghiệp Cao đẳng / Đại học về,,https://ybox.vn/tuyen-dung/net-developer-5aea4e85ba2bb54b45ed7d3d,ybox,2026-06-08 09:10:05.353+00,2026-06-08 09:12:58.743239+00,2026-06-08 09:12:58.743239+00,,,
3494,88d337d88984922d4c8af7fe9445353fad41a5b2b39af99c3e10a81cd65b9799,[HCM] UNIK TECHNOLOGY TUYỂN DỤNG DEVELOPERS 2017,unknown,Ho Chi Minh,,No experience required,Intern,[],"dự án - Phân tích, thiết kế, triển khai cơ sở dữ liệu Microsoft SQL Server, MySQL,",,https://ybox.vn/tuyen-dung/hcm-unik-technology-tuyen-dung-developers-2017-5aea4e84ba2bb54b45ed7b42,ybox,2026-06-08 09:10:10.73+00,2026-06-08 09:12:58.743239+00,2026-06-08 09:12:58.743239+00,,,
3506,7c38ed28331674dc3a4abcfb11c75890cfd70135d5c0ad69a0abf1a5c7c1fcc5,[Tuyển dụng] BNC group chiêu mộ nhân tài PHP developer,unknown,Vietnam,,No experience required,Intern,[],"Độ tuổi 22-27 tuổi. Tốt nghiệp Cao đẳng - Đại học, hoặc các trường đào tạo lập trình APTECH, NIIT ... Thành thạo lập trình web trên ngôn ngữ PHP, My",,https://ybox.vn/tuyen-dung/tuyen-dung-bnc-group-chieu-mo-nhan-tai-php-developer-5aea4dd6d665344aec3c897b,ybox,2026-06-08 09:11:16.59+00,2026-06-08 09:12:58.743239+00,2026-06-08 09:12:58.743239+00,,,
3508,12cb565667e7d549f85bd174ff0141aa7d37dbd1a38c8e863db39cdd809f84cf,Cơ hội Thực tập sinh tại GE Hải Phòng (IT/ Finance/ EHS/ QC),unknown,Vietnam,,No experience required,Intern,[],Sinh viên năm cuối hoặc ra trường chưa quá 6 tháng Điểm GPA tốt Tiếng Anh giao tiếp t,,https://ybox.vn/tuyen-dung/co-hoi-thuc-tap-sinh-tai-ge-hai-phong-it-finance-ehs-qc-5aea4db74af4ec4ad4dd550c,ybox,2026-06-08 09:11:22.1+00,2026-06-08 09:12:58.743239+00,2026-06-08 09:12:58.743239+00,,,
4334,0eac31fe4adfde5720f106637266df4c389dcfaf79608888576b1cee110ede18,[HCM] Công Ty Công Nghệ Trường Minh Thịnh Tuyển Dụng Nhân Viên Technical Support Full-time 2026,CÔNG TY CÔNG NGHỆ TRƯỜNG MINH THỊNH (TMT),Hồ Chí Minh,Thỏa thuận,Yêu cầu ứng viên có kinh nghiệm,Intern,"[""Lập trình""]",có kinh nghiệm - Mức lương: Thỏa thuận,2026-05-15T00:00:00.000Z,https://ybox.vn/tuyen-dung/hcm-cong-ty-cong-nghe-truong-minh-thinh-tuyen-dung-nhan-vien-technical-support-full-time-2026-6a06ea411d80b2030b467c17,ybox,2026-06-08 14:00:36.363+00,2026-06-08 14:04:41.253301+00,2026-06-08 14:04:41.253301+00,Full-time,Toàn thời gian,"IT (Lập trình, Công nghệ thông tin, Internet, …)"
4846,70d8a1a3792854910786ca72e3b7c7e3f0eab6f65912883e234af61015a10623,[Online-Toàn Quốc] Dự Án Việt Cổ Truyện Tuyển Dụng Tình Nguyện Viên UI/UX/Illustrator/2D & 3D Designer/Video Editor/Biên Tập Nội Dung/Biên Phiên Dịch Part-time 2026,DỰ ÁN VIỆT CỔ TRUYỆN,Hà Nội; Hồ Chí Minh; Đà Nẵng; Huế; Khác,Không lương,Không cần kinh nghiệm - Đừng lo! Chúng tôi sẽ đào tạo bạn từ đầu. Có kinh nghiệm là điểm cộng!,Intern,"[""Marketing"", ""Truyền Thông, PR"", ""Biên"", ""Phiên dịch"", ""Thiết Kế (Đồ Hoạ"", ""Web)"", ""Chỉnh Sửa Video (Video Editor)"", ""Lập trình""]","1. 𝐁𝐢𝐞̂𝐧 𝐭𝐚̣̂𝐩 𝐧𝐨̣̂𝐢 𝐝𝐮𝐧𝐠 Bạn thích viết, tư duy chi tiết, chú trọng chi tiết, cẩn thận với tư liệu, thích nghiên cứu, đặc biệt, chủ đề về văn hóa Việt Nam, truyện cổ Việt Nam. 2. 𝟐𝐃 & 𝟑𝐃 𝐃𝐞𝐬𝐢𝐠𝐧𝐞𝐫 Bạn có kỹ năng thiết kế 2D/3D, có gu thẩm mỹ tốt, biết kể chuyện bằng hình ảnh và thích làm mới chất liệu Việt theo hướng hiện đại, sáng tạo, không rập khuôn. 3. 𝐔𝐈/𝐔𝐗 Có tư duy UX/UI, wireframe, layout, user flow và có hứng thú với việc ứng dụng công nghệ, AI hoặc các trải nghiệm số hiện đại trong khuôn khổ phù hợp để giúp người đọc tiếp cận truyện cổ dễ hơn, vui hơn và thông minh hơn. 4. 𝐕𝐢𝐝𝐞𝐨 𝐄𝐝𝐢𝐭𝐨𝐫 Biết dựng video, có cảm nhịp tốt, biết kể chuyện bằng hình ảnh, có tinh thần làm nội dung trẻ trung nhưng vẫn tôn trọng chất liệu văn hóa. Biết motion, subtitle, visual storytelling hoặc accessibility content là điểm cộng lớn. 5. 𝐥𝐥𝐮𝐬𝐭𝐫𝐚𝐭𝐨𝐫 Có khả năng minh họa, có sản phẩm về truyện cổ muốn góp vào không gian phố. Đồng thời, sẵn sàng nghiên cứu văn hóa dân tộc để đưa vào tranh một cách tôn trọng, sáng tạo, có bản sắc cá nhân và bản sắc văn hóa Việt. 6. 𝐁𝐢𝐞̂𝐧 𝐩𝐡𝐢𝐞̂𝐧 𝐝𝐢̣𝐜𝐡 Có khả năng ngôn ngữ tốt, dịch mượt, không máy móc, biết giữ tinh thần văn bản và quan tâm đến văn hóa, storytelling, tiếng dân tộc hoặc giao tiếp liên văn hóa.",2026-06-15T00:00:00.000Z,https://ybox.vn/tuyen-dung/online-toan-quoc-du-an-viet-co-truyen-tuyen-dung-tinh-nguyen-vien-ui-ux-illustrator-2d-and-3d-designer-video-editor-bien-tap-noi-dung-bien-phien-dich-part-time-2026-6a2fb73d37d433161e5d3b80,ybox,2026-06-15 21:40:24.687+00,2026-06-15 21:44:57.505476+00,2026-06-15 21:44:57.505476+00,Tình nguyện; Online; Bán thời gian,Tình nguyện; Online; Bán thời gian,"Truyền Hình, Báo Chí; Giáo Dục, Đào Tạo; Marketing, Nghiên Cứu Thị Trường, Sự Kiện, Quảng cáo, Truyền Thông, Thiết Kế Đồ Hoạ; Giải trí, Ca Nhạc, Điện Ảnh, Nghệ Thuật, Văn Hoá, .."
4849,a01664ea086444d57cc3073292c58b8c4e08c6b872768926d179113fe76ba45d,"[Online-HCM] SNOW Việt Nam Tuyển Dụng Thực Tập Sinh Jaeguchi Video Editor Full-time 2026 (Mức Lương: 3,000,000 VNĐ/Tháng, Đến Văn Phòng 3 Buổi/Tuần)",SNOW VIETNAM,Hồ Chí Minh,1 triẹu - 8 triẹu/tháng,Không cần kinh nghiệm - Đừng lo! Chúng tôi sẽ đào tạo bạn từ đầu. Có kinh nghiệm là điểm cộng!,Intern,"[""Thiết Kế (Đồ Hoạ"", ""Web)"", ""Chỉnh Sửa Video (Video Editor)""]","Có kinh nghiệm làm việc trong lĩnh vực SNS (Youtube, Tiktok, Facebook, v.v.) và thiết kế (Visual & Copy). Trình độ kỹ năng trung cấp và kiến thức về phần mềm tạo nội dung (Adobe After Effect, Adobe Photoshop, Adobe Illustrator, Adobe Premiere Pro) Hoàn thành deadline đúng hạn. Cập nhật, phân tích xu hướng mới trong giới trẻ, trào lưu viral trên các nền tảng MXH (Youtube, Instagram, Tiktok v.v) Trình độ tiếng Anh giao tiếp trung cấp. Điểm cộng: Có kinh nghiệm trong việc lập kế hoạch và sản xuất short content. Có kinh nghiệm điều hành kênh YouTube hoặc tài khoản Tik Tok (SNS cá nhân, chính thức, v.v.). Nhanh nhẹn và thích ứng nhanh với công việc. Yêu thích K-pop là một lợi thế.",2026-04-20T00:00:00.000Z,https://ybox.vn/tuyen-dung/online-hcm-snow-viet-nam-tuyen-dung-thuc-tap-sinh-jaeguchi-video-editor-full-time-2026-muc-luong-3-000-000-vnd-thang-den-van-phong-3-buoi-tuan-69e5f80f582ea202f2e5b981,ybox,2026-06-15 21:40:35.504+00,2026-06-15 21:44:57.505476+00,2026-06-15 21:44:57.505476+00,Thực tập; Toàn thời gian; Online,Thực tập; Toàn thời gian; Online,"IT (Lập trình, Công nghệ thông tin, Internet, …); Marketing, Nghiên Cứu Thị Trường, Sự Kiện, Quảng cáo, Truyền Thông, Thiết Kế Đồ Hoạ"
