cv_id,source,category,candidate_name,target_role,skills,summary,full_text,embedding_text
CV-KAG-37058472,Kaggle/GitHub Resume.csv,DESIGNER,Kaggle Candidate 37058472,DESIGNER Specialist,[],"DESIGNER Summary Designer with more than 15 years in product design, manufacturing, exhibit design and visual merchandising, with comprehensive management and logistics experience who thrives in dynamically changing environments. Highlights Design processing expertise Proficient in AutoCAD Adobe Pho...","DESIGNER Summary Designer with more than 15 years in product design, manufacturing, exhibit design and visual merchandising, with comprehensive management and logistics experience who thrives in dynamically changing environments. Highlights Design processing expertise Proficient in AutoCAD Adobe Photoshop Concept development Product specifications Color and material application Strong leader Proficient with furniture systems Vendor sourcing Knowledgeable of quality control standards Procurement specialist Dedication to product quality Compliance with GMPs Accomplishments Planned, directed, coordinated and assigned manpower to efficiently meet production requirements. Experience 03/2014 to 11/2015 Designer Company Name - City , State Design and built custom furniture from client's initial conceptual idea. Create CAD drawings for approval Create estimate of pricing Provide finish samples and fabrics cuttings for approval, Creates, reviews, and modifies all specification documentation including approval drawings, supplier drawings, and all specifications. Responsible for correct building and finishing of product designed Completed key projects on time, on budget and with a high level of accuracy. Reviewed production orders, schedules, delivery dates and inventory levels to determine product availability. Established and adjusted work procedures to meet production schedules. Supervised production schedules, production quality and on time delivery. 02/2006 to 03/2014 Senior Production Manager Company Name - City , State Management of Production team Responsible for price quotations of all custom quotes in the Formations product line. Also responsible for accurate generation of Order Acknowledgment and related approval drawings when necessary, and review and launch of ""Standard"" product line. Worked closely with R&D department, assisting as necessary in the development of new products. Created, reviewed, and modified all specification documentation including approval draw","Candidate Category: DESIGNER | Skills:  | Resume Summary: DESIGNER Summary Designer with more than 15 years in product design, manufacturing, exhibit design and visual merchandising, with comprehensive management and logistics experience who thrives in dynamically changing environments. Highlights Design processing expertise Proficient in AutoCAD Adobe Pho..."
CV-KAG-68240723,Kaggle/GitHub Resume.csv,DESIGNER,Kaggle Candidate 68240723,DESIGNER Specialist,['Oracle'],"DESIGNER Summary Established well-rounded Designer with a reputation for exquisitely designed collections, who consistently maximizes company profits and surpasses margin goals. Seeking potential growth that will utilize creative skills and aims towards commitment of team and consumer/brand loyalty....","DESIGNER Summary Established well-rounded Designer with a reputation for exquisitely designed collections, who consistently maximizes company profits and surpasses margin goals. Seeking potential growth that will utilize creative skills and aims towards commitment of team and consumer/brand loyalty. Skills Critical Thinker - Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems Time Management & Communication - Managing one's time, as well as team's, to adhere to Drop Dead Dates Adaptability - Being flexible to change as it comes and resolving in a timely manner Social Perceptiveness - Working with team and taking leadership role to maintain brand direction Attention to Detail - Thorough and complete work in all related processes to end product Innovation - Demonstrated creative ability to design within business budgets, while following consumers' needs/trends Experience DESIGNER 10/2013 to 06/2015 Company Name City , State Designed multiple lines for department both International and Domestic Completion of OZ Principle Leadership 2014 Ensure cohesive brand image Led the research and development of seasonal trends Provided leadership in preparation of skus for line reviews and meetings with buyers Participated in strategic meetings alongside VP of Sales Frequent traveling alongside Sales-team seeking new market/trend ideas Provide regular feedback on performance and counseling to direct reports Style pkg. building, trim development, L/D & S/O, and BOM building Managed fit process at the side of Pattern-maker to complete desired outlook Created specialty designs for targeted LDPs; Outlet, TKMAXX, Marks and Spencer, Banana Republic, JCP., etc. ASSOCIATE DESIGNER 09/2012 to 10/2013 Company Name City , State Participated in all design aspects, product development and production, and communication Manage workload and calendars to ensure all deadlines are met Keep abreast of new season fashion an","Candidate Category: DESIGNER | Skills: Oracle | Resume Summary: DESIGNER Summary Established well-rounded Designer with a reputation for exquisitely designed collections, who consistently maximizes company profits and surpasses margin goals. Seeking potential growth that will utilize creative skills and aims towards commitment of team and consumer/brand loyalty...."
CV-KAG-76010167,Kaggle/GitHub Resume.csv,DESIGNER,Kaggle Candidate 76010167,DESIGNER Specialist,[],"DESIGNER Summary To get a strong foothold on the career ladder by doing the best I can and more, with a company that supports teamwork and utilizes the abilities of its employees. Highlights Excellent team working skills · Planning and organizing events. · Creativity in working. Time management skil...","DESIGNER Summary To get a strong foothold on the career ladder by doing the best I can and more, with a company that supports teamwork and utilizes the abilities of its employees. Highlights Excellent team working skills · Planning and organizing events. · Creativity in working. Time management skills. · Ability to work under pressure · Experienced in communicating, interacting, and building relationships with people of varying ethnic, religious, and cultural backgrounds. Computer literate and excellent typing skills. Fluency in MS Office (Word, Excel, PowerPoint, Access) and in World Wide Web (web search). ·Good Communication skills. · Leadership skills. Experience Designer , 02/2011 Company Name － City , State Designing a Jewelry collection for brides show. Education 2009 American University in Dubai － City , UAE Bachelor of Fine Arts Visual Communication Visual Communication 2005 Al-Ma'arifa Private School (High School Level) Business, Biology, Arabic, Religion, English, Food and Nutrition, Arts, TOEFL Business, Biology, Arabic, Religion, English, Food and Nutrition, Arts, TOEFL 2004 Rosary School (IGCSE) － City Subjects included English, Arabic, Biology, Physics, Chemistry, Business, Economics, Religion, Math, Arts Interests Painting, design, sports, fine dining, going out with friends, reading, and movies. Languages English (fluent) Arabic (fluent) French (basic) Skills photo, Advertising, Arabic, artist, Arts, Art, Agency, basic, Good Communication skills, Computer literate, Creativity, database, Dec, Designing, Economics, English, Filling, French, LANGUAGES, Leadership skills, Math, Access, Excel, MS Office, PowerPoint, Word, organizing, paint, Physics, POS, Selling, Time management, typing skills, World Wide Web Additional Information","Candidate Category: DESIGNER | Skills:  | Resume Summary: DESIGNER Summary To get a strong foothold on the career ladder by doing the best I can and more, with a company that supports teamwork and utilizes the abilities of its employees. Highlights Excellent team working skills · Planning and organizing events. · Creativity in working. Time management skil..."
CV-KAG-19164410,Kaggle/GitHub Resume.csv,DESIGNER,Kaggle Candidate 19164410,DESIGNER Specialist,[],"DESIGNER / TECHNICAL DESIGNER Summary Creative fashion designer with background in the catagories of swim, intimate apparel, loungewear, and sportswear. Experience designing wovens and cut and sew knits, creating technical drawings and packages. Excellent time management, organizational skills, and ...","DESIGNER / TECHNICAL DESIGNER Summary Creative fashion designer with background in the catagories of swim, intimate apparel, loungewear, and sportswear. Experience designing wovens and cut and sew knits, creating technical drawings and packages. Excellent time management, organizational skills, and work ethic. Highlights Detailed technical sketches Technical packages Line sheets Garment Fittings Garment specing Correspondence with overseas vendors Accomplishments Co-founded Ulihu, a men's and women's underwear and loungewear company. Oversaw design and technical design of all pieces and managed production in New York City. Experience Designer / Technical Designer January 2013 to August 2015 Company Name - City , State Responsible for research, development, and design for each season Prepare technical packages for all styles (Excel & Illustrator) Source and place orders for all fabrics and trims for sampling and production Oversee domestic development and production - all in NYC Communicate with factories to ensure proper fit and construction as well as maintaining timelines Attend all fittings - Responsible for overall fit of product Review and approve all samples (Fit, Pre-pro, and T.O.P.). Costume Designer and Wardrobe Supervisor June 2001 to August 2015 Company Name - City , State Presented and finalized costumes for all characters. Purchased and/or made all costumes, within agreed upon budget. Fit all garments and made alterations. Created costume plot from script using Synch OnSet. Facilitated loans from several designers and showrooms. Production Assistant October 2012 to March 2013 Company Name - City , State Assisted in product development at all stages of sportswear. Daily Correspondence with domestic factories in New York City garment district. Attended fittings and took notes. Made all updates to sketches for technical packages and relayed changes to vendors. Created line sheets and mailers to send out to buyers. Associate Designer April 2010 to October 2","Candidate Category: DESIGNER | Skills:  | Resume Summary: DESIGNER / TECHNICAL DESIGNER Summary Creative fashion designer with background in the catagories of swim, intimate apparel, loungewear, and sportswear. Experience designing wovens and cut and sew knits, creating technical drawings and packages. Excellent time management, organizational skills, and ..."
CV-KAG-29147100,Kaggle/GitHub Resume.csv,DESIGNER,Kaggle Candidate 29147100,DESIGNER Specialist,['HTML'],"MULTIMEDIA DESIGNER AND GRAPHIC DESIGNER Portfolio www.Artisterymedia.wix.com/creativeflow Summary A hardworking, focused and determined artist looking to obtain a full-time position as a Graphic Designer. Technical Skills Adobe Photoshop Adobe After Effects Adobe Illustrator Adobe InDesign Adobe Pr...","MULTIMEDIA DESIGNER AND GRAPHIC DESIGNER Portfolio www.Artisterymedia.wix.com/creativeflow Summary A hardworking, focused and determined artist looking to obtain a full-time position as a Graphic Designer. Technical Skills Adobe Photoshop Adobe After Effects Adobe Illustrator Adobe InDesign Adobe Premiere Adobe Dream Weaver Sketchbook Pro Intermediate Html Coding Microsoft Word Windows Troubleshooting Calculator, printer, fax machine, etc Microsoft Word Microsoft PowerPoint Accomplishments 2014 Civic Engagement Cover Design Winner Graphic Design Experience Multimedia Designer and Graphic Designer Sep 2015 to May 2016 Company Name － City , State Worked on branding and logo design for the office as well as inside designing of templates for the office's online services. Consulted with clients on poster designs for their conferences and presentations to their leadership Boards. Graphic Designer/ Promoter Jun 2014 to Current Company Name － City , State Helped the management team with future events and promotional tactics along with designing promotional materials and designed flyer's. FreeLance Graphic Designer Jul 2013 to Current Company Name － City , State Created graphics for pamphlets, banners, screen graphics and web graphics for the church. Helped with film design and created after effects bumps for message series. Free Lance Digital/Graphic Designer Aug 2009 to Current Company Name － City , State Freelance designed for networked Clients upon request. Education Bachelor's of Fine Arts (B.F.A) , Digital Art & Design 2016 Towson University － City , State , United States Digital Art & Design Community College of Baltimore County － City , State , United States","Candidate Category: DESIGNER | Skills: HTML | Resume Summary: MULTIMEDIA DESIGNER AND GRAPHIC DESIGNER Portfolio www.Artisterymedia.wix.com/creativeflow Summary A hardworking, focused and determined artist looking to obtain a full-time position as a Graphic Designer. Technical Skills Adobe Photoshop Adobe After Effects Adobe Illustrator Adobe InDesign Adobe Pr..."
CV-KAG-25061645,Kaggle/GitHub Resume.csv,DESIGNER,Kaggle Candidate 25061645,DESIGNER Specialist,"['CSS', 'HTML']","GRAPHIC DESIGNER Summary A graphic designer, who is creative and detail-oriented; who thinks a lot, but wants to make things clear and simple. ""Simple without loss of information,"" is my style. ""Pay attention and be accurate to each pixel"" is the phrase I will always keep in mind during my design ca...","GRAPHIC DESIGNER Summary A graphic designer, who is creative and detail-oriented; who thinks a lot, but wants to make things clear and simple. ""Simple without loss of information,"" is my style. ""Pay attention and be accurate to each pixel"" is the phrase I will always keep in mind during my design career. Right now I'm looking for a suitable position in a company that has a team of pleasant, experienced designers and a working environment, which allows people to grow and succeed. Highlights Adobe Creative Suite (Illustrator, Photoshop, InDesign), and CorelDraw Working knowledge of web design applications Dreamweaver, HTML and CSS Skilled in Microsoft Office Suite Experience of working with branding, digital prints, webpage design, typography, packaging, and printmaking Member of Springfield Art Association Experience Graphic Designer 08/2014 to 08/2015 Company Name City , State Designed webpage layout, logos, related images. Manager Assistant / Graphic Designer 07/2014 to Current Company Name City , State Provide numerous services to Chinese clients requiring US-based assistance, including: - Facilitating real estate transactions and property management - Due diligence and assistance with EB-5 visa projects and applications - Do translation and interpretation for Chinese clients - Provide expert service to Chinese families desiring to place students in lower and higher educational institutions in the US. Create company's branding and all marketing materials design - Design logo, flyers, brochures, booklets, PowerPoint templates, billboards, webpage, etc. Take photographs and edit photos. Graphic Designer 10/2013 to 05/2014 Company Name City , State Designed flyers, brochures, posters, logos and T-shirts, etc. for school's activities and events. Education Bachelor of Arts : Visual Arts - Graphic Design May 2014 UNIVERSITY OF ILLINOIS SPRINGFIELD City , State Visual Arts - Graphic Design 3.7/4.0 Gallery Assistant, Visual Arts Gallery, Associate of Fine Arts : Graphic D","Candidate Category: DESIGNER | Skills: CSS, HTML | Resume Summary: GRAPHIC DESIGNER Summary A graphic designer, who is creative and detail-oriented; who thinks a lot, but wants to make things clear and simple. ""Simple without loss of information,"" is my style. ""Pay attention and be accurate to each pixel"" is the phrase I will always keep in mind during my design ca..."
CV-KAG-11919526,Kaggle/GitHub Resume.csv,DESIGNER,Kaggle Candidate 11919526,DESIGNER Specialist,"['C', 'HTML', 'JavaScript', 'Oracle', 'SQL', 'Security', 'Unix']",E-LEARNING DESIGNER Career Overview Highly skilled and experienced educator with a strong background in information technology. Adept at addressing the needs of a variety of learners and administrators. Strongly knowledgeable about all approaches to distance learning. Qualifications Vast experience ...,"E-LEARNING DESIGNER Career Overview Highly skilled and experienced educator with a strong background in information technology. Adept at addressing the needs of a variety of learners and administrators. Strongly knowledgeable about all approaches to distance learning. Qualifications Vast experience with e-learning development software Strong understanding of teaching methodologies Extensive knowledge of emergent and current technologies Excellent organizational and management skills Ability to create training modules, storyboards and content outlines Proven ability to work with multiple parties in collaboration High proficiency with HTML and authoring tools Skills Adobe: Captivate, Media Encoder, Reader Microsoft: Excel, Internet Explorer, Media Player, Outlook, Paint, PowerPoint, SharePoint, Skype, Visio, Word Google: Chrome, Docs, Drive, Forms, Gmail, Sheets IBM: DB2, SQL, Stored Procedures, Kenexa Other: Apple iMovie, Dayana Networks Voice Record Pro, SAP Success Factors, Tech Smith Snag It, VMWare, YouTube, C, HTML, Javascript ​ Work Experience E-LEARNING DESIGNER July 2015 to Current Company Name － City , State Design, developed and p roject managed education team for 501(r) regulatory compliance curriculum including learning objectives, content analysis, story boarding, interactive design, test, project scheduling, instructional design and d evelopment design Design, developed and project managed education team for We ID for Patient Safety including learning objectives, content analysis, story boarding, interactive design, problem based scenarios, test, project scheduling, instructional design and development design Analysed, designed, documented and tested e-Learning process for new LMS and authoring tool including pretest, posttest, curriculum, SCORM and feedback surveys Designed, tested and implemented technical solution for SharePoint training resource pages, knowledge center, navigation and department sites Researched, designed, tested and implemented a s","Candidate Category: DESIGNER | Skills: C, HTML, JavaScript, Oracle, SQL, Security, Unix | Resume Summary: E-LEARNING DESIGNER Career Overview Highly skilled and experienced educator with a strong background in information technology. Adept at addressing the needs of a variety of learners and administrators. Strongly knowledgeable about all approaches to distance learning. Qualifications Vast experience ..."
CV-KAG-81011612,Kaggle/GitHub Resume.csv,DESIGNER,Kaggle Candidate 81011612,DESIGNER Specialist,"['HTML', 'SQL', 'SQL Server']","GRAPHIC DESIGNER Summary Enthusiastic student majoring in Chemistry; great at performing many task in a timely matter and as efficient as possible. Strong background in computer tasks and data analysis as well as business management. Highlights General Chemistry and Organic Basic HTML coding, Micros...","GRAPHIC DESIGNER Summary Enthusiastic student majoring in Chemistry; great at performing many task in a timely matter and as efficient as possible. Strong background in computer tasks and data analysis as well as business management. Highlights General Chemistry and Organic Basic HTML coding, Microsoft Office, 3D Chemistry Laboratories including synthesis, animation, database analysis. purification, and extraction. Inventory management and sales/profit IR spectroscopy as well as analyzing NMR analysis using SQL server and various POS and Mass Spec. data. software. Graphic designing using Photoshop and Illustrator. Experience Graphic Designer August 2009 to March 2013 Company Name - City , State In charge of advertising and designing and publishing Point of Sale materials. General Manager August 2009 to August 2011 Company Name - City , State Installing POS systems, computer networking, fuel inventory management, and Payroll management. General Manager March 2006 to October 2014 Company Name - City , State Team/ scheduling/ payroll management. Accomplishments · Eight year in business management in which I managed to lower the cost of good and increase sales and profit. In charge of Sales operations such as ordering, inventory, and customer service. Education Chemistry , 2015 El Camino College - City , State GPA: Recipient of Edison International Green Job Scholarship. · Member of the El Camino Chemistry Club. · Member of the MESA, Mathematics, Engineering, Science Achievement Program. · Recipient of Honor Transfer Student award. Chemistry Recipient of Edison International Green Job Scholarship. · Member of the El Camino Chemistry Club. · Member of the MESA, Mathematics, Engineering, Science Achievement Program. · Recipient of Honor Transfer Student award. Molecular, Cellular, and Developmental Biology , 2017 University Of California Los Angeles - City , State , USA Skills 3D, Photoshop, advertising, animation, business management, Chemistry, computer networking, cust","Candidate Category: DESIGNER | Skills: HTML, SQL, SQL Server | Resume Summary: GRAPHIC DESIGNER Summary Enthusiastic student majoring in Chemistry; great at performing many task in a timely matter and as efficient as possible. Strong background in computer tasks and data analysis as well as business management. Highlights General Chemistry and Organic Basic HTML coding, Micros..."
CV-KAG-11722421,Kaggle/GitHub Resume.csv,DESIGNER,Kaggle Candidate 11722421,DESIGNER Specialist,[],"TECHNICAL DESIGNER Summary SPECIAL QUALIFICATIONS: Textile Engineering Knitting and Garment Manufacturing Textile Printing and Finishing Yarn and Fabric Dyeing Spinning and Weaving Textile Construction and Embroidery Textile Testing Highlights CAD: Photoshop, Illustrator and Accutrac Technical Packe...","TECHNICAL DESIGNER Summary SPECIAL QUALIFICATIONS: Textile Engineering Knitting and Garment Manufacturing Textile Printing and Finishing Yarn and Fabric Dyeing Spinning and Weaving Textile Construction and Embroidery Textile Testing Highlights CAD: Photoshop, Illustrator and Accutrac Technical Packets Garment Construction and Fit Computerized and Manual Pattern Making Garment Embellishment Draping and Sewing Fashion Illustrations Manual and Computerized Merchandise & Line Development Trend & Color Analysis Understanding of Target Customer/Markets Experience Technical Designer 01/2015 to Current Company Name City , State Created 65 complete development and production technical packages including spec sheets in 1 week. Developed a pattern with grade rules for production of sample garments with accuracy. Coordinated 8 different manufacturing tasks that led to over 30,000 unites of production. Supervised the creation of garments, including fitting, detailing and adaptations. Sourced, selected and bought fabrics, trims, fastenings and embellishments. Approved quality for all trims, creates fit comments for production and communicates fit corrections to overseas in timely manner. Notified factories of construction quality issues and provides recommendations on corrections Negotiated with customers and suppliers and oversee production. Provided input to design and sourcing teams regarding cost engineering. Collaborated with designer, a merchandiser, manager and business partner to ensure the desired product is achieved, while retaining production schedule. Saved 60,000 units of production by coming up with an effective solution for a design fault. Assistant Designer/Technical Designer 06/2014 to 12/2014 Company Name City , State Vintage Casual Sportswear, Dresses and Sweaters Created an idea and produce a complete design by hand or using computer-aided design (CAD). Created complete development and production technical packages including spec sheets. Created inspirational ","Candidate Category: DESIGNER | Skills:  | Resume Summary: TECHNICAL DESIGNER Summary SPECIAL QUALIFICATIONS: Textile Engineering Knitting and Garment Manufacturing Textile Printing and Finishing Yarn and Fabric Dyeing Spinning and Weaving Textile Construction and Embroidery Textile Testing Highlights CAD: Photoshop, Illustrator and Accutrac Technical Packe..."
CV-KAG-13774329,Kaggle/GitHub Resume.csv,DESIGNER,Kaggle Candidate 13774329,DESIGNER Specialist,[],"MECHANICAL DESIGNER Summary I am a current Mechanical Designer for I.A.S. I am extremely versatile, reliable and efficient with 15+ years' experience supporting managers, business owners and executives in high paced environments in a wide variety of professional positions. Diversified skills include...","MECHANICAL DESIGNER Summary I am a current Mechanical Designer for I.A.S. I am extremely versatile, reliable and efficient with 15+ years' experience supporting managers, business owners and executives in high paced environments in a wide variety of professional positions. Diversified skills include client relations, utilizing different design mediums, being hands on, project management, and working extremely well in both team environments and on my own. Experience 02/2016 to Current Mechanical Designer Company Name － City , State My primary responsibility is to ensure that Clients are thrilled through design, planning and implementation while making sure Interstate's services are the highest quality possible. Maintain schedules thru interaction with clients and project managers, personnel and clients. Maintain ongoing project requirements and specifications for multiple projects. Review design efforts for team to ensure that quality is being maintained. Manage and scope investigations into form or function of a feature or set of features in a design. To create and refine technical and mechanical parts as well as assembly drawings to capture design intent and documentation. Guide other Interstate Staff. 02/2016 to 08/2016 Lead Horticulturalist/Manager Company Name － City , State Develop improved measurement techniques, soil conservation methods, soil sampling devices, or related technology. Identify or classify species of insects or allied forms, such as mites or spiders. Investigate soil problems and poor water quality to determine sources and effects. Develop improved measurement techniques, soil conservation methods, soil sampling devices, or related technology. Perform chemical analyses of the microorganism content of soils to determine microbial reactions or chemical mineralogical relationships to plant growth. Tour work areas to observe work being done, to inspect crops, and to evaluate plant and soil conditions. Apply pesticides and fertilizers to plants. Hir","Candidate Category: DESIGNER | Skills:  | Resume Summary: MECHANICAL DESIGNER Summary I am a current Mechanical Designer for I.A.S. I am extremely versatile, reliable and efficient with 15+ years' experience supporting managers, business owners and executives in high paced environments in a wide variety of professional positions. Diversified skills include..."
